Beer_Name,ABV,IBU,Style,Ounces,Name.y,City,State
Get Together,0.045,50,American IPA,16,NorthGate Brewing ,Minneapolis, MN
Maggie's Leap,0.049,26,Milk / Sweet Stout,16,NorthGate Brewing ,Minneapolis, MN
Wall's End,0.048,19,English Brown Ale,16,NorthGate Brewing ,Minneapolis, MN
Pumpion,0.06,38,Pumpkin Ale,16,NorthGate Brewing ,Minneapolis, MN
Stronghold,0.06,25,American Porter,16,NorthGate Brewing ,Minneapolis, MN
Parapet ESB,0.056,47,Extra Special / Strong Bitter (ESB),16,NorthGate Brewing ,Minneapolis, MN
Citra Ass Down,0.08,68,American Double / Imperial IPA,16,Against the Grain Brewery,Louisville, KY
London Balling,0.125,80,English Barleywine,16,Against the Grain Brewery,Louisville, KY
35 K,0.077,25,Milk / Sweet Stout,16,Against the Grain Brewery,Louisville, KY
A Beer,0.042,42,American Pale Ale (APA),16,Against the Grain Brewery,Louisville, KY
Rules are Rules,0.05,25,German Pilsener,16,Against the Grain Brewery,Louisville, KY
Flesh Gourd'n,0.066,21,Pumpkin Ale,16,Against the Grain Brewery,Louisville, KY
Sho'nuff,0.04,13,Belgian Pale Ale,16,Against the Grain Brewery,Louisville, KY
Bloody Show,0.055,17,American Pilsner,16,Against the Grain Brewery,Louisville, KY
Rico Sauvin,0.076,68,American Double / Imperial IPA,16,Against the Grain Brewery,Louisville, KY
Coq de la Marche,0.051,38,Saison / Farmhouse Ale,16,Against the Grain Brewery,Louisville, KY
Kamen Knuddeln,0.065,NA,American Wild Ale,16,Against the Grain Brewery,Louisville, KY
Pile of Face,0.06,65,American IPA,16,Against the Grain Brewery,Louisville, KY
The Brown Note,0.05,20,English Brown Ale,16,Against the Grain Brewery,Louisville, KY
House Lager,0.052,18,Keller Bier / Zwickel Bier,16,Jack's Abby Craft Lagers,Framingham, MA
Leisure Time,0.048,15,American Pale Lager,12,Jack's Abby Craft Lagers,Framingham, MA
Excess IPL,0.072,80,American India Pale Lager,16,Jack's Abby Craft Lagers,Framingham, MA
Hoponius Union,0.067,65,American India Pale Lager,12,Jack's Abby Craft Lagers,Framingham, MA
Calyptra,0.049,45,American India Pale Lager,12,Jack's Abby Craft Lagers,Framingham, MA
Habitus (2014),0.08,100,American Double / Imperial IPA,16,Mike Hess Brewing Company,San Diego, CA
Solis,0.075,85,American IPA,16,Mike Hess Brewing Company,San Diego, CA
Jucundus,0.06,24,Wheat Ale,16,Mike Hess Brewing Company,San Diego, CA
Habitus,0.08,100,American Double / Imperial IPA,16,Mike Hess Brewing Company,San Diego, CA
Grazias,0.063,30,Cream Ale,16,Mike Hess Brewing Company,San Diego, CA
Claritas,0.058,28,Kölsch,16,Mike Hess Brewing Company,San Diego, CA
Park,0.047,19,American Pale Wheat Ale,12,Fort Point Beer Company,San Francisco, CA
Westfalia,0.056,16,American Amber / Red Ale,12,Fort Point Beer Company,San Francisco, CA
KSA,0.046,17,Kölsch,12,Fort Point Beer Company,San Francisco, CA
Villager,0.063,42,American IPA,12,Fort Point Beer Company,San Francisco, CA
Blackbeard,0.093,NA,American Double / Imperial Stout,12,COAST Brewing Company,Charleston, SC
Rye Knot,0.062,NA,American Brown Ale,12,COAST Brewing Company,Charleston, SC
Dead Arm,0.06,NA,American Pale Ale (APA),12,COAST Brewing Company,Charleston, SC
32°/50° Kölsch ,0.048,NA,Kölsch,16,COAST Brewing Company,Charleston, SC
HopArt,0.077,NA,American IPA,16,COAST Brewing Company,Charleston, SC
Boy King,0.097,NA,American Double / Imperial IPA,16,COAST Brewing Company,Charleston, SC
Denver Pale Ale (Artist Series No. 1),0.05,NA,American Pale Ale (APA),12,Great Divide Brewing Company,Denver, CO
